# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14555
#@/user_id	95b5c598-e3d7-4e3e-99a8-9ddd8ef1376f
a 	啊	c=37 d=1.81578 t=13528
e wai 	額外	c=2 d=1.98511 t=11866
ei 	誒	c=0 d=0.1 t=13605
en 	恩	c=4 d=1 t=10785
en en 	嗯嗯	c=9 d=1.00004 t=13533
er 	二	c=1 d=1 t=4493
er 	而	c=3 d=1.01023 t=5217
er chong ji fen 	二重積分	c=1 d=1 t=4431
er ci 	二次	c=2 d=1.9802 t=14254
er ci xing 	二次型	c=1 d=1.08914 t=14269
er ji 	耳機	c=5 d=1.00016 t=9138
er ji guan 	二極管	c=5 d=1.0118 t=13815
er qie 	而且	c=5 d=1.00039 t=11930
er wei ma 	二維碼	c=6 d=2.60159 t=13262
er yan 	而言	c=1 d=1 t=14125
fa 	發	c=6 d=1.08511 t=13176
fa dao 	發到	c=1 d=1 t=6919
fa fang 	發放	c=1 d=1 t=7518
fa gei 	發給	c=0 d=0.1 t=8881
fa gei nin 	發給您	c=1 d=1 t=8882
fa huo 	發火	c=1 d=1 t=5493
fa le 	發了	c=1 d=1 t=6994
fa nu 	發怒	c=3 d=2.74583 t=9695
fa re 	發熱	c=5 d=1.00384 t=11845
fa song 	發送	c=8 d=2.08237 t=12464
fa xian 	發現	c=5 d=1 t=13511
fa yi xia 	發一下	c=1 d=1 t=13177
fan 	煩	c=1 d=1 t=9591
fan 	范	c=1 d=1 t=10322
fan bo 	反駁	c=0 d=0.1 t=10992
fan gang 	返港	c=1 d=1 t=1012
fan kui 	反饋	c=4 d=1.08492 t=2165
fan qiang 	翻牆	c=9 d=4.58755 t=13634
fan tiao 	反跳	c=1 d=1 t=6851
fan wei 	範圍	c=3 d=1.92774 t=12835
fan xiang 	反向	c=1 d=1 t=193
fan yi 	翻譯	c=7 d=1.00017 t=13874
fan zheng 	反正	c=1 d=1 t=9507
fang 	放	c=1 d=1 t=13787
fang an 	方案	c=2 d=1 t=14555
fang bian 	方便	c=6 d=1.00031 t=13878
fang chen zhao 	防塵罩	c=1 d=1 t=8628
fang cheng 	方程	c=3 d=1 t=13831
fang cheng zu 	方程組	c=1 d=1 t=13833
fang da 	放大	c=5 d=1.0018 t=13066
fang da qi 	放大器	c=1 d=1 t=12921
fang fa 	方法	c=58 d=4.36048 t=14458
fang ke 	方可	c=1 d=1 t=135
fang kuang 	方框	c=1 d=1 t=181
fang kuo hao 	方括號	c=1 d=1 t=11782
fang mian 	方面	c=6 d=1 t=10450
fang shi 	方式	c=10 d=1.15775 t=8352
fang wen 	訪問	c=3 d=1 t=10877
fang xian 	防線	c=1 d=1 t=6276
fang xiang 	方向	c=8 d=1.17548 t=12803
fang xin 	放心	c=1 d=1 t=2866
fang yi 	防疫	c=1 d=1 t=9622
fang zai 	放在	c=1 d=1 t=80
fang zhen 	仿真	c=31 d=1.59453 t=14141
fang zhi 	防止	c=3 d=1 t=7601
fang zi 	房子	c=1 d=1 t=9554
fei 	費	c=4 d=1 t=10972
fei 	非	c=1 d=1 t=14234
fei 	飛	c=2 d=0.105545 t=9589
fei chang 	非常	c=3 d=1 t=12571
fei da 	飛達	c=1 d=1 t=6793
fei diao 	廢掉	c=0 d=0.1 t=10972
fei diao le 	廢掉了	c=1 d=1 t=10973
fei ji 	飛機	c=1 d=1 t=12257
fei xian xing 	非線性	c=3 d=1 t=12880
fei xin 	費心	c=1 d=1 t=14104
fen 	分	c=2 d=1.0007 t=4300
fen bei 	分貝	c=1 d=1 t=5089
fen bian lv 	分辨率	c=1 d=1 t=6563
fen bie 	分別	c=24 d=1.55711 t=14307
fen bu 	分佈	c=1 d=1 t=12853
fen jie 	分解	c=2 d=1.83946 t=10080
fen kai 	分開	c=2 d=1 t=14311
fen li 	分離	c=1 d=1 t=7702
fen ping 	分屏	c=1 d=1 t=165
fen qi 	分期	c=1 d=1 t=7257
fen qi 	分歧	c=1 d=1 t=7256
fen qu 	分區	c=3 d=2.77842 t=6528
fen wei 	分爲	c=3 d=1.00026 t=2740
fen xi 	分析	c=16 d=1.21981 t=14541
fen xi he li 	分析合理	c=1 d=1 t=1766
fen zhong 	分鐘	c=2 d=1.98511 t=14211
feng zhi 	峯值	c=5 d=1 t=13736
fou 	否	c=2 d=1 t=10628
fou ze 	否則	c=1 d=1 t=13244
fu 	負	c=2 d=1 t=12904
fu ci 	副詞	c=1 d=1 t=13786
fu dan 	負擔	c=1 d=1 t=14496
fu hao 	負號	c=2 d=1 t=14546
fu he 	符合	c=2 d=1 t=6780
fu jian 	附件	c=1 d=1 t=1282
fu kuan 	付款	c=4 d=1.08358 t=7974
fu wu 	服務	c=2 d=1.69073 t=10640
fu wu qi 	服務器	c=13 d=1.78946 t=13384
fu za 	複雜	c=10 d=1.63562 t=14319
fu za du 	複雜度	c=17 d=4.70508 t=14540
fu zai 	負載	c=1 d=1 t=4882
fu ze 	負責	c=1 d=1 t=947
fu zhi 	複製	c=5 d=1.00002 t=13150
fu zhi dao 	複製到	c=1 d=1 t=14552
fu zhi hou 	複製後	c=1 d=1 t=10569
fu zi 	父子	c=1 d=1 t=11776
fu zuo yong 	副作用	c=1 d=1 t=14114
gai 	改	c=9 d=1 t=14522
gai 	該	c=26 d=2.00493 t=13943
gai bu fen 	該部分	c=1 d=1 t=2946
gai cheng 	改成	c=3 d=1 t=10794
gai chu 	該處	c=1 d=1 t=4670
gai fang fa 	該方法	c=2 d=1.44043 t=12137
gai jin 	改進	c=3 d=1 t=7680
gai liang 	改良	c=2 d=1.99005 t=12014
gai lun wen 	該論文	c=1 d=1 t=1989
gai qian 	改簽	c=1 d=1 t=7776
gai shan 	改善	c=1 d=1 t=9009
gai sheng 	該生	c=3 d=1.04448 t=7513
gai wei 	改爲	c=5 d=1 t=6260
gai xie 	改寫	c=3 d=1.58613 t=2628
gan bu shang 	趕不上	c=1 d=1 t=7773
gan ji 	感激	c=2 d=1 t=12807
gan jue 	感覺	c=2 d=1 t=9822
gan shang 	趕上	c=1 d=1 t=934
gan xie 	感謝	c=5 d=1 t=12504
gang 	剛	c=1 d=1 t=12636
gang cai 	剛纔	c=5 d=1.58353 t=10870
gang cai shi 	剛纔是	c=1 d=1 t=12337
gao 	搞	c=2 d=1.06822 t=10965
gao 	高	c=6 d=1.88516 t=12738
gao ding 	搞定	c=1 d=1 t=13730
gao du 	高度	c=1 d=1 t=7322
gao guo 	高過	c=1 d=1 t=12566
gao hui 	高會	c=1 d=1 t=1396
gao lao shi 	高老師	c=1 d=1 t=9041
gao liang 	高亮	c=2 d=1.92312 t=192
gao qing 	高清	c=2 d=1 t=13731
gao su 	告訴	c=2 d=1.93707 t=13254
gao su wo 	告訴我	c=2 d=1 t=9598
gao xiao 	高校	c=1 d=1 t=1343
gao zhi 	告知	c=1 d=1 t=808
ge 	個	c=20 d=2.21138 t=14245
ge 	各	c=2 d=1.00015 t=3630
ge 	格	c=2 d=1.95123 t=8697
ge bu fen 	各部分	c=1 d=1 t=3052
ge chu 	各處	c=1 d=1 t=2696
ge fang fa 	個方法	c=1 d=1 t=12021
ge ge 	各個	c=1 d=1 t=976
ge le 	隔了	c=1 d=1 t=8911
ge ren 	個人	c=3 d=1.83527 t=9417
ge shi 	格式	c=8 d=1 t=11887
ge shi hua 	格式化	c=1 d=1 t=6488
ge wei 	各位	c=2 d=1.95123 t=5361
ge zhong 	各種	c=2 d=1 t=10837
gei 	給	c=8 d=1 t=13265
gei chu 	給出	c=49 d=1.05795 t=12230
gei chu de 	給出的	c=1 d=1 t=3119
gei chu le 	給出了	c=4 d=1 t=11610
gei ni 	給你	c=3 d=2.34861 t=7584
gei wo 	給我	c=5 d=1.00001 t=9966
gen ju 	根據	c=18 d=1.00001 t=11943
gen jue 	根絕	c=1 d=1 t=232
gen wo shuo 	跟我說	c=1 d=1 t=450
geng 	更	c=6 d=1.00003 t=14358
geng bu fen 	更部分	c=1 d=1 t=3050
geng da 	更大	c=4 d=2.22576 t=14512
geng di 	更低	c=3 d=1.00001 t=14224
geng duo 	更多	c=1 d=1 t=663
geng gai 	更改	c=9 d=4.31975 t=11576
geng gao 	更高	c=4 d=1.99005 t=14084
geng hao 	更好	c=4 d=1.07544 t=14195
geng huan 	更換	c=2 d=1 t=10530
geng jia 	更加	c=1 d=1 t=9688
geng shao 	更少	c=1 d=1 t=14451
geng wei 	更爲	c=1 d=1 t=12204
geng xin 	更新	c=2 d=1.99005 t=10148
gong 	工	c=1 d=1 t=8720
gong bo 	攻博	c=1 d=1 t=7503
gong cheng 	工程	c=5 d=1.00114 t=8856
gong cun 	共存	c=1 d=1 t=11591
gong da 	工大	c=1 d=1 t=7713
gong du 	攻讀	c=4 d=3.14445 t=7536
gong e 	共軛	c=0 d=0.1 t=1404
gong e ye 	共軛也	c=1 d=1 t=1405
gong gao 	公告	c=0 d=0.1 t=283
gong gong 	公共	c=1 d=1.08958 t=14268
gong gong er ci xing 	公共二次型	c=1 d=1 t=14247
gong ju 	工具	c=2 d=1.02204 t=9253
gong kai ke 	公開課	c=2 d=1.70822 t=8668
gong neng 	功能	c=3 d=0.1 t=7766
gong ren 	工人	c=1 d=1 t=9705
gong shang 	工傷	c=1 d=1 t=11592
gong shi 	公式	c=18 d=2.74383 t=14016
gong tong 	共同	c=1 d=1 t=2082
gong ye 	工業	c=19 d=1.07372 t=8516
gong ye da xue 	工業大學	c=2 d=1.00024 t=8513
gong yu 	公寓	c=9 d=3.47749 t=7685
gong zhang 	公章	c=1 d=1 t=7533
gong zhu 	公主	c=5 d=4.79125 t=9474
gong zi 	工資	c=1 d=1 t=9706
gong zuo 	工作	c=26 d=1.10102 t=14436
gou cheng 	構成	c=3 d=1.40726 t=2163
gou jia 	構架	c=1 d=1 t=4546
gou jian 	構建	c=13 d=1.94176 t=11270
gou jian de 	構建的	c=1 d=1 t=6287
gou jian le 	構建了	c=3 d=1.00109 t=6370
gou jiang 	夠將	c=1 d=1 t=4993
gou mai 	購買	c=25 d=1.00461 t=9331
gou mai le 	購買了	c=2 d=1.89583 t=820
gou qiang 	夠嗆	c=1 d=1 t=720
gou zao 	構造	c=4 d=1 t=11229
gu ce 	估測	c=3 d=1.9569 t=14385
gu ding 	固定	c=5 d=1 t=14420
gu ge 	谷歌	c=33 d=2.40164 t=14179
gu gong 	故宮	c=0 d=0.1 t=11073
gu yi 	故意	c=1 d=1 t=9502
gua zai 	掛在	c=1 d=1 t=12712
guai 	乖	c=0 d=0.1 t=485
guai ma fan 	乖麻煩	c=1 d=1 t=486
guan bi 	關閉	c=4 d=1.00005 t=12490
guan ce 	觀測	c=8 d=1 t=14369
guan ce qi 	觀測器	c=42 d=2.11847 t=6657
guan ce zhuang tai 	觀測狀態	c=1 d=1 t=6283
guan cha 	觀察	c=1 d=1 t=12130
guan dian 	觀點	c=1 d=1 t=12288
guan ji 	關機	c=3 d=1.99501 t=12498
guan li 	管理	c=7 d=3.73031 t=8557
guan wang 	官網	c=8 d=3.13535 t=7249
guan xi 	關係	c=9 d=1.00001 t=7309
guan yi 	冠以	c=2 d=1 t=10526
guan yi xi tong 	冠以系統	c=1 d=1 t=5713
guan yu 	關於	c=11 d=1.86914 t=14440
guang fan 	廣泛	c=6 d=1.4643 t=13966
guang fan xing 	廣泛性	c=2 d=1.9802 t=13941
guang gao 	廣告	c=1 d=1 t=158
guang yi 	廣義	c=36 d=3.81884 t=6288
guang yi bi huan 	廣義閉環	c=1 d=1 t=2721
guang yi xi tong 	廣義系統	c=8 d=1.00205 t=5714
guang yi xi yong 	廣義習用	c=1 d=1 t=5084
gui 	桂	c=1 d=1 t=9132
gui 	貴	c=1 d=1 t=8623
gui dang 	歸檔	c=1 d=1 t=11142
gui fan 	規範	c=1 d=1 t=1785
gui ge 	規格	c=1 d=1 t=13518
gui hua 	規劃	c=2 d=1.07558 t=6789
gui ji 	軌跡	c=3 d=1.02601 t=3694
guo 	果	c=2 d=1 t=10751
guo 	過	c=4 d=1.48035 t=12717
guo cheng 	過程	c=27 d=1.36627 t=13976
guo cheng zhong 	過程中	c=3 d=1 t=11715
guo de 	過得	c=1 d=1 t=9521
guo du 	過渡	c=4 d=1 t=9918
guo jie 	過街	c=1 d=1 t=11169
guo lai 	過來	c=3 d=2.78775 t=10742
guo le 	過了	c=2 d=1 t=7876
guo lv 	過濾	c=1 d=1 t=13372
guo nei 	國內	c=1 d=1 t=13626
guo qu 	過去	c=1 d=1 t=7643
guo wo 	過我	c=1 d=1 t=816
guo yi hui 	國議會	c=1 d=1 t=8050
guo yu 	過於	c=1 d=1 t=7367
guo zheng 	國政	c=1 d=1 t=13773
ha 	哈	c=2 d=1 t=10721
ha er bin 	哈爾濱	c=26 d=3.05302 t=8515
ha er bin gong ye da xue 	哈爾濱工業大學	c=1 d=1 t=7678
ha er bin shi 	哈爾濱市	c=3 d=1 t=7755
ha gong 	哈工	c=1 d=1 t=8758
ha gong da 	哈工大	c=9 d=1.00002 t=13686
ha ha 	哈哈	c=1 d=1 t=9586
hai 	還	c=4 d=1.00262 t=10943
hai mei you 	還沒有	c=1 d=1 t=12715
hai neng 	還能	c=1 d=1 t=762
hai shi 	還是	c=19 d=1 t=13443
hai shuo 	還說	c=1 d=1 t=7049
hai xu yao 	還需要	c=1 d=1 t=240
hai yao 	還要	c=5 d=1 t=14012
hai yo 	還喲	c=1 d=1 t=12704
hai you 	還有	c=9 d=1.0286 t=13527
hai you yi ge 	還有一個	c=1 d=1 t=13107
hai zai 	還在	c=1 d=1 t=8712
han hong 	韓紅	c=1 d=1 t=6898
han shu 	函數	c=36 d=1.89584 t=14270
han yi 	含義	c=1 d=1 t=13714
han you 	含有	c=1 d=1 t=3057
hang 	行	c=1 d=1 t=10533
hang kong 	航空	c=1 d=1 t=12854
hang tian 	航天	c=3 d=1 t=12855
hang tian xue yuan 	航天學院	c=1 d=1 t=2776
hao 	好	c=31 d=1.04445 t=13525
hao 	號	c=28 d=1 t=13260
hao ba 	好吧	c=9 d=1.00022 t=11323
hao chu 	好處	c=1 d=1 t=6509
hao de 	好的	c=4 d=1 t=13514
hao duo 	好多	c=1 d=1 t=9573
hao hao 	好好	c=1 d=1 t=11023
hao hao gan 	好好幹	c=1 d=1 t=8577
hao jiu 	好久	c=2 d=1.60351 t=7238
hao kan 	好看	c=1 d=1 t=10864
hao keng 	號坑	c=1 d=1 t=492
hao la 	好啦	c=3 d=1 t=13576
hao le 	好了	c=3 d=1.06115 t=13186
hao li hai 	好厲害	c=1 d=1 t=9491
hao ma 	好嘛	c=1 d=1 t=11346
hao nong 	好弄	c=1 d=1 t=2488
hao san 	耗散	c=1 d=1 t=5281
hao xiang 	好像	c=4 d=1.52117 t=13565
hao ya 	好呀	c=1 d=1 t=1065
hao yong 	好用	c=5 d=1.00223 t=10603
he 	和	c=163 d=2.10096 t=14403
he he 	呵呵	c=1 d=1 t=11847
he ka fei 	喝咖啡	c=1 d=1 t=6856
he li 	合理	c=9 d=2.51817 t=14461
he li xing 	合理性	c=3 d=1.94176 t=13964
he ni 	和你	c=2 d=1 t=10910
he shi 	合適	c=4 d=1.00011 t=5140
he tong 	合同	c=1 d=1 t=14289
he tong bian huan 	合同變換	c=1 d=1 t=204
he ying 	合影	c=1 d=1 t=9513
hei long jiang 	黑龍江	c=1 d=1 t=6536
hei long jiang sheng 	黑龍江省	c=2 d=1.9802 t=2777
hei se 	黑色	c=1 d=1 t=2067
hen 	很	c=0 d=0.1 t=1000
hen bao qian 	很抱歉	c=1 d=1 t=8878
hen bu yu kuai 	很不愉快	c=1 d=1 t=1001
hen duo 	很多	c=3 d=1.00966 t=13279
hen gao 	很高	c=2 d=1 t=12655
hen hao 	很好	c=2 d=1 t=13547
hen ka 	很卡	c=1 d=1 t=6561
hen liang 	很亮	c=0 d=0.1 t=10977
hen liang kuai 	很亮塊	c=1 d=1 t=10978
hen ma fan 	很麻煩	c=2 d=1.00014 t=13246
hen nan 	很難	c=2 d=1.00026 t=4012
hen xiang xi 	很詳細	c=1 d=1 t=8109
hen you 	很有	c=1 d=1 t=1262
hen zhong yao 	很重要	c=1 d=1 t=8222
heng 	橫	c=1 d=1 t=3359
hong kuang 	紅框	c=1 d=1 t=189
hong se 	紅色	c=2 d=1.00176 t=4366
hong xian 	紅線	c=1 d=1 t=3794
hou 	後	c=14 d=0.106092 t=13766
hou liang zhang 	後兩張	c=1 d=1 t=9498
hou mian 	後面	c=2 d=1 t=14160
hou qi 	後期	c=1 d=1 t=258
hou tai 	後臺	c=6 d=1.533 t=12711
hou xu 	後續	c=4 d=3.06187 t=2955
hou yi ge 	後一個	c=1 d=1 t=13767
hou zhe 	後者	c=1 d=1 t=8327
hu 	乎	c=3 d=1.96128 t=9178
hu die 	蝴蝶	c=1 d=1 t=14177
hu jiao 	呼叫	c=1 d=1 t=10895
hu nan cai 	湖南菜	c=1 d=1 t=7711
hua 	化	c=2 d=1.00236 t=6961
hua 	畫	c=7 d=1.00379 t=13792
hua 	話	c=6 d=1.01151 t=13570
hua chu 	畫出	c=4 d=1.91761 t=11453
hua feng 	畫風	c=1 d=1 t=10728
hua qian 	花錢	c=4 d=3.8082 t=13221
hua tu 	畫圖	c=2 d=1.99501 t=11153
hua yuan 	花園	c=1 d=1 t=14176
huai yi 	懷疑	c=1 d=1 t=12627
huan 	換	c=1 d=1.08869 t=7875
huan 	環	c=1 d=0.100371 t=13354
huan hang 	換行	c=3 d=1.86936 t=10299
huan jie 	環節	c=3 d=1 t=12881
huan jing 	環境	c=4 d=1.27175 t=12171
huan jing xia 	環境下	c=1 d=1 t=11870
huan suan 	換算	c=1 d=1 t=10418
huan yi ge 	環一個	c=1 d=1 t=13355
huan yi xia 	換一下	c=2 d=1.97045 t=7858
hui 	回	c=1 d=1 t=9581
hui 	會	c=20 d=1.01714 t=14094
hui bu hui 	會不會	c=1 d=1 t=14047
hui da 	回答	c=2 d=1.89137 t=5487
hui dao zhi 	會導致	c=1 d=1 t=5666
hui fei 	會飛	c=3 d=2.93635 t=8694
hui fu 	回覆	c=4 d=1.68606 t=9724
hui fu 	恢復	c=3 d=1 t=14447
hui hui 	慧慧	c=1 d=1 t=7047
hui jia 	回家	c=1 d=1.09139 t=9532
hui lai 	回來	c=1 d=1 t=6893
hui se 	灰色	c=2 d=1.93707 t=13420
hui shi 	回事	c=1 d=1 t=9501
hui you 	會有	c=1 d=1 t=10836
hui yuan 	會員	c=1 d=1 t=9105
hui zhi 	繪製	c=2 d=1.956 t=9903
hui zong biao 	彙總表	c=2 d=1.956 t=6690
hun he 	混合	c=23 d=5.26164 t=6217
hun he shi jian 	混合事件	c=1 d=1 t=3988
huo 	或	c=2 d=1.96079 t=12882
huo 	貨	c=0 d=0.1 t=7203
huo che 	火車	c=1 d=1 t=7774
huo che zhan 	火車站	c=2 d=1.9802 t=8617
huo de 	獲得	c=6 d=1.00147 t=12972
huo qu 	獲取	c=1 d=1 t=9176
huo ying 	火影	c=1 d=1 t=3923
huo ying ren zhe 	火影忍者	c=1 d=1 t=11101
huo zhe 	或者	c=3 d=1.0892 t=8714
ji 	即	c=8 d=1.1921 t=6357
ji 	及	c=3 d=1 t=12856
ji 	機	c=2 d=1.04966 t=13184
ji 	級	c=0 d=0.1 t=945
ji ben 	基本	c=3 d=1.00002 t=4945
ji ben shang 	基本上	c=1 d=1 t=14031
ji ceng 	基層	c=1 d=1 t=89
ji chu 	基礎	c=9 d=1 t=11767
ji chu shang 	基礎上	c=6 d=1.10089 t=4611
ji cuo 	記錯	c=0 d=0.1 t=10823
ji de 	記得	c=3 d=1.00124 t=12336
ji fei 	計費	c=1 d=1 t=7765
ji fen 	積分	c=9 d=1 t=14281
ji fen xiang 	積分項	c=6 d=5.41818 t=4468
ji ge 	幾個	c=8 d=1.00011 t=14019
ji gou 	機構	c=0 d=0.1 t=13823
ji gou tu 	機構圖	c=1 d=1 t=13824
ji guo 	記過	c=1 d=1 t=10706
ji hu 	幾乎	c=1 d=1 t=12493
ji hui 	擊毀	c=1 d=1 t=8460
ji huo 	激活	c=6 d=5.27887 t=8820
ji huo ma 	激活碼	c=1 d=1 t=63
ji ke 	即可	c=4 d=1 t=8349
ji li 	機理	c=3 d=1.01508 t=12963
ji lu 	記錄	c=12 d=1.00034 t=14288
ji qi 	機器	c=1 d=1 t=12528
ji qi ren 	機器人	c=2 d=1.02096 t=10120
ji qiao 	技巧	c=1 d=1 t=14524
ji ran 	既然	c=1 d=1 t=13499
ji shao 	極少	c=1 d=1 t=13912
ji shi 	即使	c=2 d=1.16203 t=12684
ji shi 	及時	c=1 d=1 t=9736
ji shu 	技術	c=4 d=1.24457 t=14066
ji suan 	計算	c=13 d=3.37712 t=14062
ji suan chu 	計算出	c=2 d=1 t=9881
ji suan de 	計算的	c=1 d=1 t=14344
ji ti 	集體	c=2 d=1 t=12000
ji xian 	極限	c=5 d=1.00015 t=11202
ji xie 	機械	c=1 d=1 t=14156
ji xu 	亟需	c=1 d=1 t=12242
ji xu 	繼續	c=6 d=1.90177 t=10462
ji yu 	基於	c=17 d=1.00006 t=14267
ji zhang 	幾張	c=0 d=0.1 t=1134
ji zhi 	機制	c=56 d=1.7204 t=14450
jia 	加	c=1 d=1 t=7593
jia 	家	c=1 d=1 t=1100
jia cu 	加粗	c=3 d=1.99501 t=13003
jia de 	假的	c=1 d=1 t=650
jia fen 	加分	c=1 d=1 t=10866
jia ge 	價格	c=2 d=1 t=8324
jia gong 	加工	c=3 d=2.96536 t=11976
jia mi 	加密	c=3 d=1.70822 t=12983
jia ru 	加入	c=2 d=1 t=8458
jia shang 	加上	c=1 d=1 t=10647
jia su 	加速	c=1 d=1 t=11979
jia su du 	加速度	c=1 d=1 t=12896
jia yi 	加以	c=3 d=1 t=12157
jia yi ge 	加一個	c=1 d=1 t=9888
jia you 	加油	c=3 d=1.94176 t=8588
jia zhi 	價值	c=3 d=1 t=12180
jian 	間	c=2 d=1 t=7340
jian ce 	檢測	c=2 d=1 t=13281
jian cha 	檢查	c=3 d=1 t=13987
jian chi 	堅持	c=4 d=1.55193 t=14466
jian dan 	簡單	c=6 d=1 t=11906
jian ge 	間隔	c=3 d=1 t=5952
jian hua 	簡化	c=1 d=1 t=7604
jian jin 	漸進	c=21 d=1.31177 t=5094
jian jin wen ding 	漸進穩定	c=3 d=1.00083 t=4673
jian ju 	間距	c=1 d=1 t=7342
jian li 	建立	c=3 d=1 t=10407
jian pan 	鍵盤	c=2 d=1 t=9141
jian qie 	剪切	c=1 d=1 t=6575
jian rong 	兼容	c=1 d=1 t=10142
jian shao 	減少	c=1 d=1 t=4750
jian she 	建設	c=1 d=1 t=10456
jian yan 	檢驗	c=1 d=1 t=9032
jian yao 	簡要	c=1 d=1 t=4555
jian yi 	建議	c=8 d=3.82113 t=12826
jian zhu 	建築	c=1 d=1 t=1132
jiang 	將	c=28 d=1.00003 t=14548
jiang 	獎	c=2 d=1.94176 t=6650
jiang cong 	將從	c=0 d=0.1 t=5378
jiang di 	降低	c=6 d=1.00001 t=14383
jiang dui 	將對	c=2 d=1 t=14366
jiang hui 	將會	c=1 d=1 t=2850
jiang jin 	將近	c=1 d=1 t=9576
jiao 	交	c=1 d=1 t=8729
jiao 	叫	c=1 d=1 t=5369
jiao ben 	腳本	c=1 d=1 t=8134
jiao cha 	交叉	c=2 d=1.956 t=186
jiao chang 	較長	c=1 d=1 t=14139
jiao du 	角度	c=1 d=1 t=1138
jiao hao 	較好	c=2 d=1.98511 t=6382
jiao liu 	交流	c=2 d=1.96079 t=634
jiao nang 	膠囊	c=1 d=1 t=9650
jiao qiang 	較強	c=5 d=1 t=11707
jiao qing 	矯情	c=1 d=1 t=5667
jiao wei 	較爲	c=2 d=1 t=6390
jiao yu 	教育	c=6 d=1.13926 t=9242
jie 	姐	c=7 d=4.82014 t=11500
jie 	接	c=1 d=1 t=14161
jie 	節	c=11 d=1.87131 t=4275
jie 	街	c=1 d=0.125223 t=8494
jie 	解	c=0 d=0.1 t=14115
jie da 	解答	c=1 d=1 t=1027
jie dao 	街道	c=1 d=1 t=11516
jie dian 	節點	c=1 d=1 t=11862
jie duan 	階段	c=1 d=1 t=6275
jie gou 	結構	c=5 d=2.66637 t=13862
jie gou tu 	結構圖	c=1 d=1 t=5887
jie guo 	結果	c=29 d=2.20891 t=14501
jie he 	結合	c=4 d=1.00041 t=3393
jie jue 	解決	c=16 d=1.36788 t=12243
jie jue bu liao 	解決不了	c=1 d=1 t=954
jie lun 	結論	c=1 d=1 t=1792
jie mian 	界面	c=7 d=1 t=13400
jie shao 	介紹	c=17 d=2.82535 t=13913
jie shi 	解釋	c=4 d=1.23458 t=14206
jie shou 	接受	c=2 d=1 t=11377
jie shu 	結束	c=1 d=1 t=10834
jie suan 	結算	c=1 d=1.099 t=7768
jie suan gong neng 	結算功能	c=1 d=1 t=7767
jie tou 	接頭	c=2 d=1.94649 t=8180
jie tu 	截圖	c=4 d=2.30383 t=13411
jie xia 	接下	c=1 d=1 t=3960
jie xia lai 	接下來	c=7 d=1.98518 t=9000
jie zhi 	截至	c=1 d=1 t=7016
jie zhi 	節制	c=2 d=1.96079 t=12954
jin 	僅	c=1 d=1 t=12428
jin 	盡	c=1 d=1 t=14101
jin 	進	c=2 d=1 t=13305
jin 	金	c=2 d=1.84789 t=1420
jin cheng 	進程	c=3 d=1.07611 t=9248
jin er 	進而	c=6 d=1 t=12049
jin gang 	金剛	c=8 d=7.60834 t=7736
jin guan 	儘管	c=1 d=1 t=14137
jin huo 	進貨	c=1 d=1 t=7166
jin jie zhe 	緊接着	c=2 d=1 t=12048
jin jin 	僅僅	c=1 d=1 t=9957
jin kuai 	儘快	c=1 d=1 t=8048
jin le 	進了	c=1 d=1 t=649
jin liang 	儘量	c=4 d=1.90937 t=13553
jin qu 	進去	c=4 d=1.83013 t=13340
jin ri 	今日	c=1 d=1 t=8607
jin ru 	進入	c=2 d=1.85214 t=4168
jin tian 	今天	c=9 d=1.00172 t=12262
jin xian 	僅限	c=1 d=1 t=12456
jin xing 	進行	c=42 d=1.0965 t=13650
jin yi bu 	進一步	c=2 d=1.80654 t=5348
jin zhan 	進展	c=1 d=1 t=10436
jin zhou 	錦州	c=3 d=1.00231 t=9134
jing ban ren 	經辦人	c=1 d=1 t=7531
jing cha 	警察	c=1 d=1 t=11779
jing dong 	京東	c=1 d=1 t=8667
jing dong 	驚動	c=1 d=1 t=8150
jing guo 	經過	c=2 d=1.96079 t=2150
jing jian 	精簡	c=1 d=1 t=8113
jing pin 	精品	c=6 d=1 t=6570
jing xiao shang 	經銷商	c=3 d=2.87045 t=868
jiu 	就	c=29 d=1.07118 t=14209
jiu 	救	c=3 d=2.15866 t=7583
jiu bu hui 	就不會	c=1 d=1 t=13632
jiu cha 	就差	c=1 d=1 t=6871
jiu hao 	就好	c=0 d=0.1 t=6893
jiu hao la 	就好啦	c=4 d=1.09926 t=13640
jiu hao le 	就好了	c=3 d=1.80252 t=13497
jiu he 	就和	c=0 d=0.1 t=816
jiu he wo shuo 	就和我說	c=1 d=1 t=817
jiu hui 	就會	c=1 d=1 t=13510
jiu ke yi 	就可以	c=4 d=1.00011 t=10797
jiu ke yi le 	就可以了	c=1 d=1 t=9436
jiu neng 	就能	c=1 d=1 t=12479
jiu sheng 	救生	c=0 d=0.1 t=8581
jiu sheng wo yi ge 	救生我一個	c=1 d=1 t=8582
jiu shi 	就是	c=19 d=1.29882 t=13598
jiu shuo 	就說	c=1 d=1 t=885
jiu wen 	就問	c=1 d=1 t=6597
jiu xing 	就行	c=2 d=1 t=13575
jiu ye 	就業	c=1 d=1 t=302
jiu yi 	就已	c=1 d=1 t=9506
ju bao 	舉報	c=1 d=1 t=7712
ju bu 	局部	c=2 d=1 t=14407
